file,true_label,risk_score,risk_level,ml_source,predicted_fake
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0000.wav,genuine,1.3,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0001.wav,genuine,1.5,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0002.wav,genuine,1.4,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0003.wav,genuine,0.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0004.wav,genuine,2.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0005.wav,genuine,1.2,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0006.wav,genuine,0.2,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0007.wav,genuine,1.2,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0008.wav,genuine,0.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0009.wav,genuine,0.2,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0010.wav,genuine,0.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0011.wav,genuine,0.2,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0012.wav,genuine,0.9,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0013.wav,genuine,0.8,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0014.wav,genuine,1.4,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0015.wav,genuine,0.2,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0016.wav,genuine,0.9,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0017.wav,genuine,0.2,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0018.wav,genuine,1.3,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0019.wav,genuine,0.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0020.wav,genuine,0.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0021.wav,genuine,1.4,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0022.wav,genuine,0.5,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0023.wav,genuine,2.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0024.wav,genuine,1.7,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0025.wav,genuine,0.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0026.wav,genuine,0.8,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0027.wav,genuine,0.6,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0028.wav,genuine,0.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0029.wav,genuine,0.6,LOW,dhwani,False
